Geneid	Chr	Start	End	Strand	Length	Col_0h_rep1.Aligned.sortedByCoord.out.bam	Col_0h_rep2.Aligned.sortedByCoord.out.bam	Col_0h_rep3.Aligned.sortedByCoord.out.bam	Col_3h_rep1.Aligned.sortedByCoord.out.bam	Col_3h_rep2.Aligned.sortedByCoord.out.bam	Col_3h_rep3.Aligned.sortedByCoord.out.bam
gene-AT1G15002	CP002684.1	5168516	5170571	-	2056	32	44	34	14	18	6
gene-AT1G05137	CP002684.1	5170210	5170307	-	98	0	0	0	0	0	0
gene-AT1G15010	CP002684.1	5171181	5171956	+	776	42	50	30	1502	1836	1750
gene-AT1G15015	CP002684.1	5172081	5172923	+	843	0	0	0	0	4	0
gene-AT1G15020	CP002684.1	5172232	5176479	-	4248	1084	1246	962	1312	1332	1263
gene-AT1G15030	CP002684.1	5177480	5180049	+	2570	2915	2934	2620	2938	3224	2705
gene-AT1G05143	CP002684.1	5178738	5179002	-	265	0	0	0	0	1	0
gene-AT1G15040	CP002684.1	5179887	5181402	-	1516	282	228	302	624	548	377
gene-AT1G05147	CP002684.1	5180695	5181247	+	553	9	2	0	18	14	19
gene-AT1G15050	CP002684.1	5181991	5183413	-	1423	12	21	7	22	32	20
gene-AT1G15060	CP002684.1	5183258	5187106	-	3849	2404	2208	2038	1607	1954	1553
gene-AT1G15080	CP002684.1	5187549	5189673	+	2125	230	218	200	282	264	197
gene-AT1G15090	CP002684.1	5189687	5189760	-	74	0	0	0	0	0	0
gene-AT1G05153	CP002684.1	5191674	5192677	+	1004	0	0	0	0	0	2
gene-AT1G15085	CP002684.1	5192219	5192854	+	636	0	0	0	0	0	0
gene-AT1G15100	CP002684.1	5193284	5194214	-	931	482	460	450	498	636	564
gene-AT1G15110	CP002684.1	5198940	5202315	+	3376	530	541	582	632	658	595
gene-AT1G15120	CP002684.1	5202593	5204494	+	1902	3678	3645	3479	3169	3701	3372
gene-AT1G15125	CP002684.1	5204312	5205964	+	1653	42	26	76	90	114	76
gene-AT1G15130	CP002684.1	5206002	5209979	-	3978	3005	2822	2875	3461	3320	2803
gene-AT1G15140	CP002684.1	5210181	5212349	-	2169	2900	3071	2974	2332	2680	2337
gene-AT1G15150	CP002684.1	5212475	5215042	+	2568	90	84	81	26	65	54
gene-AT1G15160	CP002684.1	5215345	5217545	+	2201	0	5	0	3	0	1
gene-AT1G15165	CP002684.1	5217719	5220113	-	2395	304	304	286	276	274	265
gene-AT1G15170	CP002684.1	5220403	5222973	+	2571	410	409	446	408	514	424
gene-AT1G15175	CP002684.1	5222729	5224143	-	1415	332	248	264	409	332	379
gene-AT1G15180	CP002684.1	5224294	5226778	+	2485	2688	2671	2634	3151	3159	2825
gene-AT1G15190	CP002684.1	5226982	5228202	+	1221	10	1	6	10	4	10
gene-AT1G15200	CP002684.1	5228300	5231184	-	2885	2697	2902	2783	2684	2844	2761
gene-AT1G15210	CP002684.1	5231345	5236886	-	5542	1534	1525	1646	1424	1593	1402
gene-AT1G15215	CP002684.1	5238044	5240051	+	2008	290	288	298	308	425	328
gene-AT1G15220	CP002684.1	5240029	5241541	-	1513	304	248	310	298	316	270
gene-AT1G15230	CP002684.1	5242073	5243262	-	1190	1012	1006	820	962	961	856
gene-AT1G15240	CP002684.1	5243383	5248693	+	5311	2152	2160	2092	2268	2179	2163
gene-AT1G15250	CP002684.1	5248664	5249676	-	1013	834	823	870	757	886	822
gene-AT1G15260	CP002684.1	5249760	5250573	+	814	1977	1952	1725	748	844	787
gene-AT1G15270	CP002684.1	5250650	5252121	-	1472	4931	5120	4594	4392	5067	4614
gene-AT1G15280	CP002684.1	5252285	5256863	+	4579	3400	3487	3204	3543	3576	3112
gene-AT1G15290	CP002684.1	5256870	5265155	-	8286	21157	20186	19924	16035	16840	14285
gene-AT1G15310	CP002684.1	5268891	5272058	-	3168	338	328	304	270	316	280
gene-AT1G15320	CP002684.1	5272256	5274074	-	1819	0	2	4	0	2	4
gene-AT1G15330	CP002684.1	5274271	5275602	+	1332	16	16	8	46	42	44
gene-AT1G15340	CP002684.1	5275616	5277869	-	2254	6441	6367	6191	7016	7398	6622
gene-AT1G15350	CP002684.1	5278027	5279988	-	1962	1002	1156	998	1166	1390	1166
gene-AT1G05157	CP002684.1	5280264	5281274	+	1011	2	0	0	0	0	2
gene-AT1G15360	CP002684.1	5283268	5284736	+	1469	10	8	6	0	8	2
gene-AT1G15370	CP002684.1	5286866	5288640	+	1775	1536	1563	1532	1478	1670	1422
gene-AT1G15380	CP002684.1	5290582	5292582	+	2001	1527	2144	1958	1912	2214	2048
gene-AT1G15385	CP002684.1	5292712	5293338	-	627	10	10	2	2	8	10
gene-AT1G15390	CP002684.1	5294629	5295931	+	1303	1028	1099	1029	862	1026	953
gene-AT1G15400	CP002684.1	5295756	5297075	-	1320	1718	1549	1450	1680	1824	1660
gene-AT1G05163	CP002684.1	5297847	5298571	-	725	7	2	0	0	0	0
gene-AT1G15405	CP002684.1	5297875	5298166	-	292	0	0	0	0	0	0
gene-AT1G15410	CP002684.1	5298324	5300927	+	2604	1193	1219	876	834	940	870
gene-AT1G15415	CP002684.1	5300742	5301489	-	748	30	18	16	34	24	38
gene-AT1G15420	CP002684.1	5301516	5303522	-	2007	846	914	942	906	1070	992
gene-AT1G15430	CP002684.1	5304098	5306087	+	1990	316	284	281	454	462	382
gene-AT1G15440	CP002684.1	5306027	5309558	-	3532	1213	1240	1270	1020	1203	1014
gene-AT1G15450	CP002684.1	5309647	5309718	-	72	0	0	0	0	0	0
gene-AT1G15460	CP002684.1	5309907	5314128	-	4222	84	106	134	136	120	88
gene-AT1G15470	CP002684.1	5315499	5317941	+	2443	658	768	606	666	710	642
gene-AT1G15480	CP002684.1	5317973	5320630	+	2658	412	436	415	422	464	416
gene-AT1G15490	CP002684.1	5320615	5323895	-	3281	534	546	540	518	614	508
gene-AT1G15500	CP002684.1	5326290	5328875	+	2586	10786	10949	10644	10507	10949	10096
gene-AT1G15510	CP002684.1	5329064	5331711	+	2648	510	582	578	398	489	419
gene-AT1G15520	CP002684.1	5331858	5338326	-	6469	134	8	12	16	12	4
gene-AT1G08915	CP002684.1	5339715	5339922	-	208	10	10	6	15	7	3
gene-AT1G15530	CP002684.1	5339961	5341931	-	1971	678	631	642	765	817	698
gene-AT1G15540	CP002684.1	5342090	5343876	+	1787	8	0	2	2	2	1
gene-AT1G15550	CP002684.1	5344388	5346342	-	1955	1454	1382	1728	616	606	472
gene-AT1G05167	CP002684.1	5355737	5356794	-	1058	0	0	0	0	0	0
gene-AT1G05173	CP002684.1	5356374	5356587	+	214	0	0	0	0	0	0
gene-AT1G15570	CP002684.1	5361865	5365559	+	3695	1240	1392	1308	1478	1503	1330
gene-AT1G15580	CP002684.1	5365512	5366497	-	986	60	64	42	249	262	192
gene-AT1G15590	CP002684.1	5367297	5368670	+	1374	0	0	0	0	0	0
gene-AT1G15600	CP002684.1	5368923	5370344	+	1422	0	0	0	0	0	0
gene-AT1G15610	CP002684.1	5370677	5371859	+	1183	0	0	0	0	0	0
gene-AT1G15620	CP002684.1	5373459	5374575	+	1117	2	2	4	2	6	4
gene-AT1G15625	CP002684.1	5374755	5375910	+	1156	34	30	46	36	30	40
gene-AT1G15630	CP002684.1	5376793	5378056	+	1264	24	8	2	4	4	8
gene-AT1G15640	CP002684.1	5378886	5380239	+	1354	18	20	17	22	18	21
gene-AT1G15650	CP002684.1	5380907	5380988	+	82	0	0	0	0	0	0
gene-AT1G15660	CP002684.1	5381032	5385380	+	4349	1060	1244	1216	1066	1316	1028
gene-AT1G15670	CP002684.1	5389952	5391672	+	1721	794	804	732	982	835	609
gene-AT1G15680	CP002684.1	5393407	5394639	+	1233	0	0	0	0	0	0
gene-AT1G05177	CP002684.1	5396178	5396631	-	454	0	0	0	0	0	0
gene-AT1G15690	CP002684.1	5398926	5402733	+	3808	33730	33950	34695	39022	38809	32664
gene-AT1G05183	CP002684.1	5402553	5403853	+	1301	4	8	0	43	30	38
gene-AT1G15700	CP002684.1	5402569	5403818	-	1250	196	330	274	224	268	224
gene-AT1G15710	CP002684.1	5404130	5405910	+	1781	940	1096	984	640	650	624
gene-AT1G15720	CP002684.1	5406025	5407486	+	1462	128	124	116	66	110	92
gene-AT1G05187	CP002684.1	5406134	5407357	-	1224	4	2	2	8	2	7
gene-AT1G15730	CP002684.1	5407401	5410043	-	2643	2449	2714	2568	2713	2846	2560
gene-AT1G05193	CP002684.1	5410578	5410827	-	250	0	0	0	0	0	0
gene-AT1G15740	CP002684.1	5410908	5414919	+	4012	6713	6272	6235	9534	10316	8305
gene-AT1G15750	CP002684.1	5414817	5421033	-	6217	9842	9545	9550	9670	10611	8603
gene-AT1G05197	CP002684.1	5421188	5421431	+	244	0	0	0	0	0	0
gene-AT1G15757	CP002684.1	5424242	5424579	-	338	0	0	0	0	0	0
gene-AT1G15760	CP002684.1	5425616	5426666	+	1051	74	122	72	104	124	76
gene-AT1G15770	CP002684.1	5426708	5428280	-	1573	2	0	0	0	0	0
gene-AT1G15772	CP002684.1	5428520	5429594	-	1075	4	2	4	4	12	6
gene-AT1G15780	CP002684.1	5430040	5436618	-	6579	3144	2997	3232	3180	3317	2683
gene-AT1G15790	CP002684.1	5438171	5440131	-	1961	256	172	160	140	192	126
gene-AT1G15800	CP002684.1	5441072	5443911	-	2840	146	186	136	294	316	236
gene-AT1G15810	CP002684.1	5444220	5446564	+	2345	1203	1330	1162	1308	1392	1070
gene-AT1G05203	CP002684.1	5445341	5445782	-	442	7	0	3	0	14	4
gene-AT1G15820	CP002684.1	5446462	5447880	-	1419	119211	127172	115110	114980	123384	114509
gene-AT1G05207	CP002684.1	5447212	5447569	+	358	19	16	17	13	16	17
gene-AT1G15830	CP002684.1	5448060	5450617	+	2558	1496	1321	1553	1065	1056	1238
gene-AT1G15825	CP002684.1	5448073	5448608	-	536	18	26	49	20	21	24
gene-AT1G15840	CP002684.1	5451432	5452374	+	943	2	2	0	0	2	4
gene-AT1G15850	CP002684.1	5453245	5454088	-	844	0	0	0	1	0	0
gene-AT1G15860	CP002684.1	5454766	5457022	+	2257	1583	1877	1482	1836	2062	1778
gene-AT1G15870	CP002684.1	5457084	5458429	+	1346	48	78	72	38	66	58
gene-AT1G15880	CP002684.1	5458398	5460359	-	1962	1373	1318	1242	1770	1800	1543
gene-AT1G15885	CP002684.1	5460477	5461297	+	821	162	190	170	236	211	203
gene-AT1G15890	CP002684.1	5461309	5464241	+	2933	108	137	110	469	433	399
gene-AT1G15900	CP002684.1	5464273	5464947	+	675	14	14	30	16	34	20
gene-AT1G15910	CP002684.1	5465251	5469180	+	3930	1252	1323	1180	1462	1617	1380
gene-AT1G15920	CP002684.1	5469255	5471149	+	1895	912	906	862	1064	1024	914
gene-AT1G15930	CP002684.1	5471316	5473048	+	1733	6849	7207	6808	6754	7364	6556
gene-AT1G15940	CP002684.1	5473359	5478405	+	5047	1823	1906	1804	1702	1838	1693
gene-AT1G15950	CP002684.1	5478603	5482180	+	3578	9270	9242	8934	6614	7111	5730
gene-AT1G05213	CP002684.1	5479274	5481730	-	2457	6	4	6	2	0	6
gene-AT1G15960	CP002684.1	5481665	5486105	-	4441	638	688	558	498	542	500
gene-AT1G15970	CP002684.1	5486273	5489132	-	2860	932	922	886	956	978	902
gene-AT1G15980	CP002684.1	5489145	5491363	+	2219	13817	13845	12590	12020	12852	10951
gene-AT1G15990	CP002684.1	5491133	5494192	-	3060	0	0	0	0	0	0
gene-AT1G16000	CP002684.1	5494533	5495359	+	827	386	426	426	384	374	400
gene-AT1G16010	CP002684.1	5495373	5497723	-	2351	1828	1856	1568	1743	1903	1662
gene-AT1G16020	CP002684.1	5498012	5501358	+	3347	998	1090	974	970	993	960
gene-AT1G16022	CP002684.1	5501317	5501856	-	540	34	28	40	20	40	36
gene-AT1G16025	CP002684.1	5501505	5501959	+	455	0	2	0	0	4	2
gene-AT1G16030	CP002684.1	5501966	5504535	-	2570	276	330	270	238	244	218
gene-AT1G16040	CP002684.1	5504608	5507059	+	2452	500	448	374	462	434	390
gene-AT1G16060	CP002684.1	5508311	5511736	+	3426	414	488	508	392	424	400
gene-AT1G16070	CP002684.1	5510301	5513980	-	3680	136	126	130	104	86	100
gene-AT1G16080	CP002684.1	5514262	5516027	+	1766	7326	6704	6401	5461	5946	5098
gene-AT1G16090	CP002684.1	5516259	5517822	+	1564	215	222	200	217	227	217
gene-AT1G16100	CP002684.1	5518062	5518134	-	73	0	1	0	0	0	0
gene-AT1G16110	CP002684.1	5518219	5520929	+	2711	192	140	103	540	526	500
gene-AT1G05217	CP002684.1	5521653	5521896	-	244	2	0	4	0	0	0
gene-AT1G16120	CP002684.1	5522602	5525452	+	2851	66	70	91	69	54	70
gene-AT1G16130	CP002684.1	5525293	5528212	+	2920	90	110	133	158	174	168
gene-AT1G16150	CP002684.1	5532298	5535060	+	2763	60	112	83	86	74	74
gene-AT1G16160	CP002684.1	5535766	5538501	+	2736	26	15	12	38	30	14
gene-AT1G16170	CP002684.1	5538666	5540002	-	1337	1036	1078	1012	1161	1400	1072
gene-AT1G16180	CP002684.1	5540050	5542902	+	2853	7020	7201	7012	7624	8046	6556
gene-AT1G16190	CP002684.1	5543119	5546103	+	2985	1142	1170	1218	976	1292	1020
gene-AT1G16210	CP002684.1	5546099	5547753	-	1655	2345	2300	2286	2438	2448	2212
gene-AT1G16220	CP002684.1	5548262	5550770	+	2509	290	350	298	244	267	206
gene-AT1G16225	CP002684.1	5550791	5552414	-	1624	6	18	2	4	14	8
gene-AT1G05223	CP002684.1	5552868	5553111	+	244	0	0	0	0	0	0
gene-AT1G16230	CP002684.1	5553467	5554489	-	1023	0	0	0	0	2	2
gene-AT1G16240	CP002684.1	5554843	5556844	-	2002	2184	2317	1936	2899	2715	2686
gene-AT1G16250	CP002684.1	5556964	5559520	+	2557	571	587	539	662	764	654
gene-AT1G16260	CP002684.1	5559498	5562192	-	2695	1196	938	862	1175	1142	908
gene-AT1G16270	CP002684.1	5562861	5568368	+	5508	1736	1764	1718	1731	1884	1710
gene-AT1G16280	CP002684.1	5567742	5570679	-	2938	416	456	458	490	555	450
gene-AT1G16290	CP002684.1	5570753	5573958	-	3206	6	2	2	0	2	0
gene-AT1G16300	CP002684.1	5574257	5577622	+	3366	694	702	668	552	648	578
gene-AT1G16310	CP002684.1	5578265	5580730	+	2466	292	300	222	206	204	220
gene-AT1G16320	CP002684.1	5580821	5582154	+	1334	3872	3723	3217	3378	3594	2898
gene-AT1G16330	CP002684.1	5582387	5587461	-	5075	261	270	243	250	229	201
gene-AT1G16340	CP002684.1	5587722	5590761	-	3040	636	644	650	591	764	557
gene-AT1G16350	CP002684.1	5590756	5593098	+	2343	3280	3543	3512	2931	2870	2708
gene-AT1G16360	CP002684.1	5593270	5595814	-	2545	4	10	11	3	4	4
gene-AT1G16370	CP002684.1	5596633	5598447	+	1815	34	48	44	66	50	40
gene-AT1G16380	CP002684.1	5598411	5601367	-	2957	0	0	0	0	0	0
gene-AT1G16390	CP002684.1	5602786	5604770	+	1985	448	308	348	190	230	230
gene-AT1G16400	CP002684.1	5605044	5607498	+	2455	1021	1061	1291	481	713	584
gene-AT1G16410	CP002684.1	5608682	5612064	+	3383	11667	13979	11552	2283	3559	2993
gene-AT1G16420	CP002684.1	5612150	5614020	-	1871	16	4	20	6	16	0
gene-AT1G16430	CP002684.1	5614593	5615660	+	1068	166	176	158	114	171	142
gene-AT1G16440	CP002684.1	5615808	5617672	+	1865	42	26	46	28	45	68
gene-AT1G16445	CP002684.1	5617786	5619456	+	1671	170	138	148	198	126	174
gene-AT1G16450	CP002684.1	5619471	5619543	-	73	0	0	0	0	0	0
gene-AT1G16460	CP002684.1	5619545	5622674	-	3130	2330	2392	2149	2241	2366	2186
gene-AT1G16470	CP002684.1	5622746	5625683	+	2938	2502	2740	2467	2470	2754	2449
gene-AT1G16480	CP002684.1	5625699	5629013	-	3315	114	98	146	151	222	130
gene-AT1G05227	CP002684.1	5628923	5629213	+	291	0	0	0	0	1	0
gene-AT1G16489	CP002684.1	5629183	5631131	+	1949	74	80	58	60	62	70
gene-AT1G16490	CP002684.1	5629655	5631088	-	1434	44	36	38	12	10	30
gene-AT1G16500	CP002684.1	5638779	5640202	+	1424	216	172	208	264	350	280
gene-AT1G05233	CP002684.1	5642764	5642985	+	222	0	0	0	0	0	0
gene-AT1G16510	CP002684.1	5644572	5645443	-	872	94	114	70	102	114	80
gene-AT1G05237	CP002684.1	5646666	5646969	+	304	0	0	0	0	0	0
gene-AT1G16515	CP002684.1	5647462	5648114	-	653	16	34	38	20	30	26
gene-AT1G16520	CP002684.1	5648636	5651167	+	2532	1074	1037	951	906	906	963
gene-AT1G16530	CP002684.1	5651268	5652883	-	1616	56	50	74	144	156	182
gene-AT1G16540	CP002684.1	5659370	5665488	+	6119	610	586	532	512	530	462
gene-AT1G16560	CP002684.1	5668384	5670708	+	2325	1758	1948	1698	2014	2138	1904
gene-AT1G05243	CP002684.1	5668441	5668939	-	499	0	0	0	0	0	0
gene-AT1G16570	CP002684.1	5670577	5673600	-	3024	688	634	638	602	656	610
gene-AT1G16590	CP002684.1	5673707	5675143	+	1437	184	164	132	160	126	132
gene-AT1G16610	CP002684.1	5675495	5678873	-	3379	2168	2278	2462	2308	2527	2073
gene-AT1G16630	CP002684.1	5681973	5684909	-	2937	464	488	448	344	386	410
gene-AT1G16635	CP002684.1	5685503	5686368	-	866	0	0	0	1	0	0
gene-AT1G05247	CP002684.1	5686093	5686179	-	87	0	0	0	0	0	0
gene-AT1G16640	CP002684.1	5686525	5687727	+	1203	44	42	38	30	48	54
gene-AT1G16650	CP002684.1	5687871	5691369	+	3499	266	300	344	246	258	326
gene-AT1G16670	CP002684.1	5697216	5699870	+	2655	533	430	408	582	655	550
gene-AT1G16680	CP002684.1	5702153	5705892	+	3740	1346	1364	1278	1357	1464	1356
gene-AT1G16690	CP002684.1	5705897	5709563	+	3667	511	610	487	477	430	449
gene-AT1G16700	CP002684.1	5709624	5712043	+	2420	2229	2213	2338	2177	2398	2184
gene-AT1G16705	CP002684.1	5712022	5713752	+	1731	16	24	16	16	22	38
gene-AT1G16710	CP002684.1	5713794	5722614	+	8821	2312	2194	2110	2554	2615	2191
gene-AT1G16720	CP002684.1	5722891	5726478	+	3588	19330	18035	16921	17068	16890	14403
gene-AT1G05253	CP002684.1	5723094	5723466	-	373	36	30	12	12	24	12
gene-AT1G16730	CP002684.1	5726368	5727406	-	1039	744	716	654	406	494	408
gene-AT1G05257	CP002684.1	5726556	5726671	+	116	11	8	10	22	11	11
gene-AT1G16740	CP002684.1	5727622	5729115	+	1494	830	957	776	814	864	670
gene-AT1G16750	CP002684.1	5729057	5731934	-	2878	460	582	400	425	466	378
gene-AT1G05263	CP002684.1	5733333	5733554	-	222	0	0	0	0	0	0
gene-AT1G16760	CP002684.1	5734190	5737704	+	3515	2	0	0	3	0	0
gene-AT1G16770	CP002684.1	5737839	5739377	+	1539	14	8	0	12	12	2
gene-AT1G16780	CP002684.1	5739468	5744636	-	5169	808	819	849	613	694	619
gene-AT1G16790	CP002684.1	5744335	5745259	+	925	388	442	444	350	400	370
gene-AT1G16800	CP002684.1	5744484	5755468	-	10985	718	712	702	639	674	636
gene-AT1G16810	CP002684.1	5755588	5756895	+	1308	1770	1944	1874	1990	2252	1943
gene-AT1G16820	CP002684.1	5756835	5758653	-	1819	64	74	54	98	156	110
gene-AT1G05267	CP002684.1	5757508	5758384	+	877	0	0	0	0	0	0
gene-AT1G05273	CP002684.1	5758382	5758575	+	194	16	12	20	7	20	20
gene-AT1G16825	CP002684.1	5758855	5760509	+	1655	259	191	253	242	232	232
gene-AT1G16830	CP002684.1	5760626	5762619	+	1994	72	82	68	72	50	80
gene-AT1G16840	CP002684.1	5762694	5764184	-	1491	1470	1489	1202	2664	2687	2397
gene-AT1G16850	CP002684.1	5764807	5765798	-	992	94	142	152	340	385	368
gene-AT1G16860	CP002684.1	5767300	5770602	+	3303	1708	1886	1818	1774	2000	1762
gene-AT1G16870	CP002684.1	5770732	5773322	-	2591	1280	1376	1411	1306	1420	1211
gene-AT1G16880	CP002684.1	5773512	5776308	+	2797	23541	23020	21378	20193	20769	19484
gene-AT1G16890	CP002684.1	5776177	5778529	-	2353	3676	3857	3626	3916	4253	3852
gene-AT1G05277	CP002684.1	5777100	5777828	+	729	0	0	0	0	0	0
gene-AT1G16900	CP002684.1	5779008	5782433	-	3426	902	996	920	1031	1076	1015
gene-AT1G16905	CP002684.1	5782455	5783840	-	1386	6	14	12	14	24	12
gene-AT1G16910	CP002684.1	5785003	5785959	+	957	8	0	4	2	0	6
gene-AT1G16916	CP002684.1	5786557	5787329	-	773	199	145	191	225	224	233
gene-AT1G16920	CP002684.1	5787150	5789312	-	2163	1098	1381	1208	1402	1398	1360
gene-AT1G16930	CP002684.1	5789679	5791752	+	2074	260	280	284	322	352	272
gene-AT1G16940	CP002684.1	5791983	5793491	+	1509	0	0	0	0	0	0
gene-AT1G16945	CP002684.1	5793905	5794197	+	293	0	0	0	0	0	0
gene-AT1G16950	CP002684.1	5795879	5796666	+	788	0	0	0	0	0	0
gene-AT1G16960	CP002684.1	5799741	5800887	+	1147	386	295	320	330	378	280
gene-AT1G16970	CP002684.1	5800767	5805811	-	5045	990	929	902	934	990	780
gene-AT1G16980	CP002684.1	5807200	5811610	+	4411	0	2	0	0	1	0
gene-AT1G17000	CP002684.1	5812728	5816662	+	3935	0	0	0	0	0	2
gene-AT1G17010	CP002684.1	5817567	5819352	+	1786	0	0	0	1	0	0
gene-AT1G17020	CP002684.1	5820080	5822013	+	1934	300	296	276	244	266	270
gene-AT1G17030	CP002684.1	5822309	5824464	+	2156	98	122	98	130	130	62
gene-AT1G17040	CP002684.1	5824771	5828266	+	3496	446	466	476	429	516	486
gene-AT1G05283	CP002684.1	5828817	5829035	-	219	0	0	0	0	0	0
gene-AT1G17050	CP002684.1	5828915	5831383	+	2469	5524	5054	4863	3796	4300	3452
gene-AT1G17060	CP002684.1	5832094	5835488	-	3395	476	620	588	656	779	763
gene-AT1G17065	CP002684.1	5832303	5834030	+	1728	0	0	0	0	0	0
gene-AT1G05287	CP002684.1	5837499	5837891	-	393	0	0	0	0	0	10
gene-AT1G17070	CP002684.1	5837590	5840332	+	2743	584	620	604	544	536	578
gene-AT1G17080	CP002684.1	5840269	5841745	-	1477	1402	1272	1130	1448	1577	1306
gene-AT1G17090	CP002684.1	5842168	5844367	-	2200	110	92	84	158	158	141
gene-AT1G17100	CP002684.1	5844646	5845661	+	1016	4550	4267	4131	2450	2743	2265
gene-AT1G17110	CP002684.1	5845675	5850934	-	5260	3116	3110	2812	3232	3518	3124
gene-AT1G17120	CP002684.1	5851860	5853987	+	2128	1174	1192	1045	1336	1308	1088
gene-AT1G17130	CP002684.1	5854093	5856697	+	2605	1734	1704	1606	1808	1979	1810
gene-AT1G05293	CP002684.1	5855473	5855751	-	279	2	1	2	0	0	0
gene-AT1G17140	CP002684.1	5856573	5858550	-	1978	1733	1945	1688	1566	1662	1622
gene-AT1G05297	CP002684.1	5857935	5858271	+	337	0	0	0	0	0	0
gene-AT1G17145	CP002684.1	5860078	5862890	-	2813	806	918	850	1310	1359	1141
gene-AT1G17147	CP002684.1	5863109	5864059	-	951	82	78	92	154	150	174
gene-AT1G17150	CP002684.1	5865707	5867495	+	1789	0	0	0	0	0	0
gene-AT1G17160	CP002684.1	5867535	5869436	+	1902	544	650	670	660	706	680
gene-AT1G17170	CP002684.1	5869543	5870883	+	1341	1188	1320	1296	1118	1330	1108
gene-AT1G17180	CP002684.1	5872024	5873124	+	1101	1002	1471	1400	1309	1783	1643
gene-AT1G17190	CP002684.1	5875295	5876620	+	1326	504	580	528	670	732	600
gene-AT1G17200	CP002684.1	5878390	5880073	+	1684	1968	2100	1929	2138	2351	1964
gene-AT1G17210	CP002684.1	5879996	5884773	-	4778	4770	4566	4075	5047	5253	4114
gene-AT1G17220	CP002684.1	5885007	5890500	+	5494	25991	24686	23017	20015	21144	18234
gene-AT1G17230	CP002684.1	5890616	5895141	+	4526	522	450	558	520	490	488
gene-AT1G17232	CP002684.1	5890616	5895132	-	4517	100	106	131	163	167	162
gene-AT1G17235	CP002684.1	5895351	5896250	+	900	2	0	2	6	2	2
gene-AT1G17240	CP002684.1	5896385	5898931	-	2547	28	20	26	40	27	30
gene-AT1G17255	CP002684.1	5899972	5903773	+	3802	171	206	114	176	195	196
gene-AT1G17250	CP002684.1	5901169	5903439	-	2271	24	30	62	32	42	26
gene-AT1G17260	CP002684.1	5904058	5908898	+	4841	128	125	116	80	102	98
gene-AT1G17270	CP002684.1	5909085	5911708	-	2624	304	278	264	396	465	382
gene-AT1G17280	CP002684.1	5916832	5920393	-	3562	1980	1922	1690	1894	2008	1842
gene-AT1G17285	CP002684.1	5920542	5921483	+	942	64	42	50	52	72	50
gene-AT1G17290	CP002684.1	5922332	5926400	+	4069	7293	7079	6833	9020	9234	8207
gene-AT1G17300	CP002684.1	5926636	5927784	+	1149	10	22	8	20	20	18
gene-AT1G17310	CP002684.1	5927925	5928833	-	909	2	4	2	2	6	2
gene-AT1G17330	CP002684.1	5929826	5931926	+	2101	522	508	542	468	556	410
gene-AT1G17340	CP002684.1	5933780	5938817	+	5038	1528	1412	1475	1938	2082	1576
gene-AT1G17345	CP002684.1	5940292	5941525	+	1234	18	24	54	58	43	76
gene-AT1G17350	CP002684.1	5941549	5944465	+	2917	436	500	350	467	433	494
gene-AT1G17360	CP002684.1	5946448	5951561	+	5114	4715	4548	4212	4784	5080	4404
gene-AT1G05303	CP002684.1	5946498	5946759	-	262	2	0	0	0	0	0
gene-AT1G17370	CP002684.1	5951542	5955143	-	3602	3738	3608	3369	3318	3539	2839
gene-AT1G17380	CP002684.1	5955155	5957511	-	2357	64	48	24	124	250	234
gene-AT1G17400	CP002684.1	5960471	5962481	-	2011	16	8	10	0	4	2
gene-AT1G05307	CP002684.1	5962530	5962906	+	377	0	0	0	0	0	0
gene-AT1G17410	CP002684.1	5968410	5969995	-	1586	342	262	236	208	238	288
gene-AT1G05313	CP002684.1	5975212	5975631	-	420	0	0	0	0	0	0
gene-AT1G17420	CP002684.1	5977323	5981521	+	4199	332	316	282	1050	2000	1324
gene-AT1G17430	CP002684.1	5982145	5984013	+	1869	240	291	239	290	332	260
gene-AT1G17440	CP002684.1	5983984	5987934	-	3951	2304	2196	2096	2561	2750	2341
gene-AT1G17450	CP002684.1	5988280	5997033	-	8754	957	905	850	908	1030	904
gene-AT1G17455	CP002684.1	5997057	5998599	+	1543	210	176	148	250	253	263
gene-AT1G17460	CP002684.1	5998765	6002732	+	3968	96	100	80	104	86	84
gene-AT1G17470	CP002684.1	6002888	6006410	+	3523	3795	3950	3707	3890	4276	3800
gene-AT1G17480	CP002684.1	6006413	6008501	-	2089	152	178	118	147	168	122
gene-AT1G17490	CP002684.1	6008437	6009420	+	984	376	400	338	316	326	274
gene-AT1G17500	CP002684.1	6017808	6023503	+	5696	1393	1362	1297	1606	1675	1428
gene-AT1G17510	CP002684.1	6023504	6024309	-	806	184	261	204	222	262	218
gene-AT1G17520	CP002684.1	6024636	6027565	-	2930	756	716	722	946	993	874
gene-AT1G17530	CP002684.1	6027487	6029115	+	1629	920	874	805	916	877	762
gene-AT1G17540	CP002684.1	6029138	6032860	-	3723	0	2	0	0	0	0
gene-AT1G17545	CP002684.1	6033109	6033908	+	800	0	0	0	0	0	0
gene-AT1G17550	CP002684.1	6034270	6037398	+	3129	2852	2996	2512	2691	3183	2523
gene-AT1G17560	CP002684.1	6037405	6038698	-	1294	254	286	307	221	240	246
gene-AT1G17570	CP002684.1	6038757	6038838	+	82	0	0	0	0	0	0
